7 40
0 1 374829374829374823
0 2 -238749237492374923
0 3 587342598234758234
0 4 -349872349872398472
0 5 129348719283471928
0 6 -984739847398473984
1 0 3747347274924929429
1 2 483729847298374928
1 3 -347892374982734987
1 4 283749823749827349
1 5 -129387498237498273
1 6 487239847239847293
2 1 34384398493849
2 3 948729847239847239
2 4 -498273498273498273
2 5 237492837498237498
2 6 -238749823749823749
3 0 183827381731
3 1 93891839131
3 2 1390284028402802
3 4 874982374982374982
3 5 -293847293847293847
3 6 478923748923748923
4 0 82292939
4 1 4828420202482
4 2 20832424802
4 3 932949242
4 5 -748923748923748923
4 6 128374982374982374
5 6 -238749823749823748
5 0 47927492749
5 1 0294028402840
5 2 9138280202
5 3 19389839283
5 4 20820402402
6 0 28492749249
6 1 983942498492
6 2 983924924141
6 3 18733292942992
6 4 294249249249
